,Name,Genre,AE_Mean,AE_Std,RMS_Mean,RMS_Std,ZCR_Mean,ZCR_Std,BER_Mean,BER_Std,SC_Mean,SC_Std,BW_Mean,BW_Std,MFCC0_Mean,MFCC0_Std,MFCC1_Mean,MFCC1_Std,MFCC2_Mean,MFCC2_Std,MFCC3_Mean,MFCC3_Std,MFCC4_Mean,MFCC4_Std,MFCC5_Mean,MFCC5_Std,MFCC6_Mean,MFCC6_Std,MFCC7_Mean,MFCC7_Std,MFCC8_Mean,MFCC8_Std,MFCC9_Mean,MFCC9_Std,MFCC10_Mean,MFCC10_Std,MFCC11_Mean,MFCC11_Std,MFCC12_Mean,MFCC12_Std
176,03 The Diary of Jane - Single Version.mp4,metal,0.8398605,0.15164998,0.31000215,0.08319494,0.14688240163379737,0.04453005518294627,10.254311,36.784096,2766.08545063019,467.28673177957967,2537.2227303407803,226.2740111475472,33.23887,33.716427,68.02768,16.260717,-15.58437,12.539495,43.378292,9.693529,1.0245234,8.728117,16.836521,8.001806,-2.5439367,8.621997,14.461679,7.082172,-3.8624213,7.303464,13.500864,6.9469957,-1.4917381,7.199687,8.305265,6.81674,-7.2885733,6.228739
177,03 Paralyzer.mp4,metal,0.7166524,0.20219305,0.2736696,0.10454308,0.11091121664733179,0.053929242642758835,28.354052,51.446102,2362.029517975705,696.3295827758209,2462.0453624067122,396.27169198011785,-2.8654835,51.383877,90.18542,25.164515,-5.095055,20.680227,31.138384,13.428765,-5.034017,15.989307,12.014313,10.221064,-5.3513722,9.963449,8.49971,8.97121,-6.6601663,9.072652,7.0876775,9.192,-6.0967364,8.29303,8.11569,7.860758,-10.208605,7.036253
178,04 Addicted.mp4,metal,0.3305273,0.083811894,0.11807619,0.029151073,0.10158666860015468,0.03701826527546222,15.591913,16.127626,2045.2807091164632,494.9321679830658,2221.6915817520576,377.07160483032794,-88.62893,39.647873,103.94729,22.484903,-14.481097,16.376408,40.242176,11.616545,-1.1424963,9.371375,5.524408,8.140654,-0.38333562,9.11494,15.62628,6.5456743,-9.216262,6.9545727,12.212816,8.0699625,-8.170052,7.0103345,6.192728,6.6896796,-10.095088,6.8805847
179,04 All Summer Long.mp4,metal,0.81127256,0.22323017,0.32270655,0.12831299,0.10022794011020882,0.05428433389421433,27.827007,34.037384,2225.9650163288848,689.7660883213556,2406.470917457688,387.29261405208956,-4.3565335,57.202515,91.196884,24.901146,0.55526483,19.998995,39.764835,17.732428,-5.422378,14.469047,14.38354,11.042609,-1.6598445,11.734351,11.199545,8.139737,-7.485628,11.136283,7.6990724,8.459493,-3.0258794,7.7036896,6.4460263,7.3158603,-4.4704924,7.5752645
180,03 Toxicity.mp4,metal,0.38767636,0.13492963,0.14045446,0.052667834,0.09166168189288476,0.0508710926748616,37.794445,58.844154,1924.4463678659786,747.8646637739445,2095.360199529696,465.99335854109364,-97.88355,67.05587,103.9535,31.569378,-17.554522,14.657257,37.324795,11.072739,4.0551023,11.090927,17.052328,8.442922,2.0280826,9.78461,9.412516,9.125561,-3.3023891,7.939144,10.912343,6.7610116,-1.3480821,8.324766,10.737375,6.90404,-6.5401926,6.6970654
181,04 Before I Forget.mp4,metal,0.8839495,0.0950099,0.35428473,0.05839004,0.12193058778035576,0.0248275825483902,7.7330623,13.509858,2326.9752339640777,288.44538858054676,2263.125886070621,196.66923620418848,55.755848,25.116533,95.03943,12.375351,-26.07023,12.318915,37.501804,11.774683,-8.340593,9.175352,14.710691,7.994141,-7.600546,7.6652617,11.919074,6.5443587,-7.487695,5.705683,10.849154,5.1569943,-7.330368,6.62848,10.398033,5.4978356,-8.01944,5.2653275
182,04 Bad Company.mp4,metal,0.19994755,0.11422146,0.0725574,0.037101764,0.0718849695475638,0.042814273435981015,103.141685,164.74985,1439.3032294348948,628.8651419741471,1734.2250380374992,522.7932773355232,-188.21327,76.69366,147.63838,34.70398,-17.41851,19.93515,11.710564,12.612149,5.01257,11.136852,3.4822636,10.786666,-8.652846,8.700971,7.058065,7.23287,-3.6569612,9.280692,9.82085,7.6351557,-8.310094,9.403891,-0.38501382,7.8320985,-10.231547,8.017347
183,"03 You're Gonna Go Far, Kid.mp4",metal,0.8848851,0.12820455,0.31557268,0.07078562,0.14270878649458624,0.044861148545370516,6.5701556,6.952267,2592.941476812612,457.3757114649844,2409.6741844967387,228.70854541986617,40.850212,26.076859,80.33142,14.192953,-23.361961,11.061021,33.000797,9.123449,-8.426406,7.969621,13.223416,6.5782447,-3.4209988,9.136614,17.727354,6.5709176,-5.3428574,5.9740815,15.178585,5.588986,-3.5916383,6.1157217,8.887578,6.7289605,-5.615003,5.483026
184,04 B.Y.O.B..mp4,metal,0.8055086,0.21085793,0.28967994,0.09752904,0.14205925536542924,0.05977884112105889,9.450678,12.050254,2587.2876503630387,637.2384981711342,2405.4485013800227,335.9374435827976,18.784122,55.01961,78.20798,22.847673,-23.26216,22.803816,33.29235,17.048206,-2.4855409,11.017834,19.119251,9.459126,-0.16602638,11.739163,11.458773,9.558542,-3.0747697,8.7308235,13.926161,7.8344927,-3.3899982,7.772756,7.4603286,6.859347,-7.4137506,6.3082633
185,03 What I've Done.mp4,metal,0.6716847,0.23670246,0.2359632,0.105691336,0.139948279195669,0.061151452646717695,11.444823,14.590735,2711.190509890296,573.0533389428701,2546.7866283737158,240.53608936648882,-8.536204,52.5978,71.30604,16.695549,-9.301319,13.539285,35.702724,12.8412285,-8.215889,10.263393,15.917431,8.90191,-9.426994,7.8973575,15.756478,8.459886,-3.8391058,8.328642,13.114393,8.291579,-4.1616983,7.691408,11.157818,7.866694,-6.357233,7.2211447
